Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords 
Secret Knowledge,Tonny Rutakirwa,Hardcover,USD 35.96,"The Rig-Veda, from Christianity to Buddhism, from the Kabbalah of the Jews to the Surfis sect of Islam to the oldest known Hindu writings. Many of these names have Sacred Knowledge. For many significant purposes, the Egyptian Hierophants (Priest) rendered the Pyramids in the form of a Triangle & Square. 

This book is the eighth book in the Awaken Series by Tonny Rutakirwa, published by Tonniez Publishing Press on 25th March 2018 and is a detailed account of the most basic building blocks of ancient knowledge.",2020,English,9781716407345,Social Science,All Rights Reserved - Standard Copyright License,"By (author): Tonny Rutakirwa, Foreword by: Charles Karanja Munderu",266,Hardcover,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Tonny Rutakirwa', 'Tonniez Publishing Press', 'Secret Knowledge', 'Awaken Series', 'Egypt', 'Ancient Wisdom', 'Wisdom of the Ages', 'King Solomon', 'Rome', 'Roman Empire', 'Greece', 'Macedonia', 'Babylon', 'Pyramids', 'Astrologer', 'Law Of Attraction', 'Enlightenment', 'Ancient Seers', 'Garuda Purana', 'Mudras', 'Pharaohs', 'Secret Societies', 'Greek Mythology', 'Zodiac Signs', 'Zeus', 'Thiruvananthapuram']"
Probability Binomial With Parameters,Homework Help Classof1,Ebook,USD 5.99,"""Among Orthodox Jews, families are expected to be large.  Among Ashkenazim, a segment of the Jewish population, Tay-Sachs disease is [TSD] a relatively common disorder.  TSD is an inherited autosomal recessive disorder, i.e., both parents must be carriers in order that a child inherits the disease.  Suppose 2 such Ashkenazim parent-carriers have 12 children.  What is the probability that:
[1] No children will have TSD?
[2] At least 1 child will be born with TSD?
[3] No more than 2 children will have TSD?
""",2013,English,N/A,Education & Language,All Rights Reserved - Standard Copyright License,By (author): Homework Help Classof1,,,,,PDF,"['Statistics', 'Probability', 'Binomial distribution', 'probability of success', 'probability of failure', 'Number of trails', 'Probability density function', 'combinations', 'Bernoulli trails', 'discrete distribution', 'independent trails']"
The Works of Cyprian,Cyprian,Ebook,USD 1.99,"This collection has the following works:

The Epistles of Cyprian
On the Unity of the Church
Three Books of Testimonies Against the Jews
On the Exhortation to Martyrdom
On Jealousy and Envy
On the Advantage of Patience
On Works and Alms
On the Mortality
On the Vanity of Idols: Showing that the Idols are Not Gods, and that God is One, and that Through Christ Salvation is Given to Believers
An Address to Demetrianus
On the Lord's Prayer
On the Lapsed
On the Dress of Virgins",2012,English,9781300551263,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Cyprian,,,,,EPUB,[]
Kosher Eating for Black People,By Sylvia A. Thomas,Paperback,USD 10.99,"Sylvia A. Thomas is a prolific Christian based writer of some of the most important books for this century. She has devoted her life to understanding end-time prophecy and the connection between the original Hebrew, Israelite, Jews and Black people throughout the world. In this book you will learn the L-rd Yeshua, Jesus' specific will and its importance concerning the Dietary Law also known as Kosher Eating. It is a message for modern times. Learn G-D's will for His people today and how to truly live a holy life!",2019,English,9780359931354,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): By Sylvia A. Thomas,110,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['kosher eating', 'dietary law', 'Jesus', 'Yeshua', 'Black people', 'Christians', 'Jews', 'Jewish', 'holy', 'Hebrew', 'Israelite', 'Messianic', 'kosher food', 'African Americans']"
"Israel, the Church and the End Times, Understanding Prophetic EVENTS-2000-PLUS!",Alan Pateman,Hardcover,USD 41.99,"Dr. Alan Pateman’s End Times Series not only seeks to bring the reader “up to date” with regard to present day societal eschatological convictions, showing how Israel is in fact, God’s chosen instrument that will be used to chart and to instigate fulfilment of these long anticipated end-time events. He also accurately traces the history of how the Jews through history have been used as God’s instrument; how evil forces have for centuries, all the way up to this present time, sought to destroy these people, their mission, their purpose, and their unique position within the overall plan of God; and how the worldwide entrenchment of modern day apostasy, materialism and deception will immediately proceed the realization of these end-times events, anticipated for so many thousands of years.Such a work has long been needed that successfully marries the past, especially that of the Jews and of the rise of anti-Semitism, with the events of the future, and clarifies the mysteries of eschatology so that those of us who await the glorious return of our Lord Jesus, can more easily understand and appreciate the inimitability of the exceptional days and times in which we live—the End Times. Dr. Ron Charles",2020,English,9780957065499,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Alan Pateman,448,Hardcover,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['End times', 'Israel', 'Antichrist', 'The Temple', 'Babylon', 'Endtimes']"
Very Peculiar Stories,Armando Simon,Paperback,USD 22.98,"A collection of bizarre, surrealistic stories---ranging from the frightening to the thought-provoking to the absurd---written by a Cuban-American author. A teenage boy one day wakes up speaking another language, having forgotten his own. A mad dictator erects a wall around his island nation, effectively walling in the population. The dead come back to life and take up their old lives, much to everyone else's irritation. A group of Jews pay to have a faithful reenactment of a concentration camp. A misshapen skull is the basis of a cult in Florida and the Bahamas. These are some of the peculiar stories found in this volume.",2007,English,9781435703704,Fiction,All Rights Reserved - Standard Copyright License,By (author): Armando Simon,188,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Cuban-American literature', 'surrealism']"
"BANANAS: Observations,  fixations, and declarations from a profoundly disordered mind",b.f. thames,Paperback,USD 19.99,"""We're all a little Bananas,  but that's usually an assessment or diagnosis offered or imposed by the masses who either don't understand what they're seeing and experiencing,  or they do in fact understand but simply reject it. ""

~b.f. thames",2016,English,9781365326066,Fiction,All Rights Reserved - Standard Copyright License,By (author): b.f. thames,64,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Bananas', 'wisdom', 'women', 'knowledge', 'sage', 'proverbs', 'Oprah', 'insanity', 'idiots', 'Jews', 'the devil', 'crazy', 'nutcase', 'aphorisms']"
Strange Wives: The Paradox of Biblical Intermarriage,"Stanley Ned Rosenbaum, Ph.D",Ebook,USD 6.99,"Strange Wives: The Paradox of Biblical Intermarriage is an unorthodox look at a controversial subject. It is written in an unconventionally conversational style by a traditionally trained scholar and an ordained rabbi. The book traces the history of attitudes toward “marrying out” and demonstrates that the famous edict of Ezra that Jews divorce their “strange wives” was in fact a departure from earlier assumptions and practice. At the same time, it illuminates the nature of personal relationships and family interactions during the biblical period.",2014,English,9780986322617,Religion & Spirituality,All Rights Reserved - Standard Copyright License,"By (author): Stanley Ned Rosenbaum, Ph.D, By (author): Rabbi Allen Secher",,,,,EPUB,"['Bible', 'Interfaith', 'Intermarriage', 'Ruth', 'Esther', 'Jewish Christian Intermarriage', 'Biblical history']"
Understanding the Gospel of Luke,James A. Self,Paperback,USD 8.62,"Luke was a faithful companion and co-worker of the apostle Paul. Luke’s gospel is directed not only to Jews, but the entire world. Luke was a physician and his high level of education is manifest, in the presentation and  style of his writing. He was not himself an eyewitness, but he described the  reports, of the eyewitnesses. Luke describes, in great detail, the incarnation of the Son of God, his birth, his childhood, his obedience to Mary and Joseph. Luke presents Jesus’ genealogy, beginning with Adam and ending  with His mother, Mary.",2019,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): James A. Self,296,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Commentary', 'Religion', 'Spirtuality', 'Luke']"
The Temple of His Body,William Stevenson,Paperback,USD 15.00,"A theology of the presence of God among his chosen people throughout history. Following the theme of God's presence as shown in the Bible chiefly through his relationship with the Jews and then among Christians in the early years of the Church. Looking at the Gifts of the Risen Lord in Apostles, Prophets, Evangelists, Teachers and Pastors as well as the gifts of the Spirit of A word of wisdom, a word of knowledge, faith, Gifts of Healing, the working of miracles, discerning of spirits, diverse kinds of tongues, interpretation and prophecy. With the operation of the Father through all. 
This could be considered a manual of operation for your fellowship given by the Holy Spirit,",2016,English,9781329913684,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): William Stevenson,100,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"[""God's Presence"", ""God's People"", ""God's Pattern""]"
The Woman At the Well,Prophet Stephen,Ebook,USD 0.00,"The biblical story of the woman at the well is a remarkable one.  It showcases the mind of a Samaritan woman that met Jesus at the well.  In those days, Jews and Samaritans were not supposed to speak to one another.  However, Jesus gave her a prophetic word that made her think that he was a prophet.  Jesus showed her that he was not only a prophet, but the messiah as well.  Prophet Stephen explains this story in an easy to understand e-book.",2019,English,9781794821453,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Prophet Stephen,,,,,EPUB,['woman at well']
Prophet Zechariah,Verna Hargrove,Paperback,USD 4.98,"This is a scripture that shows God's emotions are real. The Lord uses strong language regarding choosing Jerusalem for his personal city, and his call of the Israelis to be his chosen earthly people. Right now, we live in the day of grace. Whosoever will can come to the Lord. But the day will come when God will deal with specifically with Jews again. We expect the temple to be rebuilt. Jewish rabies have everything ready, and are just waiting for the right time.",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Verna Hargrove,66,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Prophet', 'end times', 'prophecy', 'future predicted', 'Jesus', 'God', 'rapture']"
DUTIES OF THE HEART,Jay Mazo,Hardcover,USD 35.63,Bahya ben Joseph ibn Paquda was a Jewish philosopher and rabbi who lived in Spain during the first half of the eleventh century.  He felt the rabbis of the Talmud did not fully bring out all the ethical teachings of Judaism into a coherent system. Bahya felt that many Jews neglected the inner moral sentiments. The main object of his book was to appeal to the sentiments of the Jewish people to joyfully perform life’s duties with love of God in their heart.,2019,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Jay Mazo,666,Hardcover,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,['JEWISH ETHICS DEVOTION']
