Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords 
Enoch Calendar,Anayahu Priel Carlson,Ebook,USD 0.00,"The Year According to the Sacred Calendar Revealed by the Prophet Enoch, as described in the Book of Enoch (incorporates Qumran interpretation).",2010,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Anayahu Priel Carlson,,,,,PDF,"['Enoch', 'calendar', 'qumran', 'henoch', 'chanoch', 'enochian', 'intercalation', 'hebrew', 'jewish', 'jews', 'jew', 'nazarene', 'israelite', 'israelites']"
Foundational Thoughts in Judaism,Per K. Brask,Paperback,USD 19.99,"What does Judaism say about free will, suffering, good and evil, sin, responsibility, righteousness?

Danish philosopher Andreas Simonsen explains where Judaism stands on these and other complex moral issues, puts them into historical perspective and discusses their relevance to our lives today, while tackling the contradictions, confusions and paradoxes inherent in Judaism’s fundamental tenets. He also compares Judaism’s teachings to those of Christianity, humanism and selected Western philosophers, both classical and modern. 

Christians and Jews, believers and non-believers, alike, will find Simonsen’s insights fascinating and enlightening. 

This important 20th-century religious-philosophical work is now available in English for the first time, translated from the Danish by Per K. Brask.",2014,English,9781927663103,Religion & Spirituality,All Rights Reserved - Standard Copyright License,"By (author): Per K. Brask, By (author): Andreas Simonsen",136,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Judaism', 'Judaic thought', 'Judaic philosophy', 'Judaica', 'religion', 'comparative religion']"
Reconquista: A Romance of Spain,John Cowart,Paperback,USD 16.20,"In this story, John Cowart explores the complex social, political and religious forces that dominated Medieval Spain during the Reconquista.  Jews were caught in the middle of this titanic struggle between Christian and Muslim.  The Moors drive Hernan from his castle, and he flees to Leon. There, he meets Rachel, the daughter of Abraham Ben Kohen, the king's chancellor. Their love grows in spite of their religious differences. She is a Jew, and he a Christian. When Ben Kohen is killed, the king blames Hernan and promises Rachel to another in marriage. Forced into exile, Hernan has lost everything. He must overcome his prejudices and reconcile with his worst enemy to regain his fortune and win the hand of the one he loves.",2007,English,9780615167428,Fiction,All Rights Reserved - Standard Copyright License,By (author): John Cowart,226,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Reconquist', 'Medieval Spain', 'Muslims', 'Christians', 'Catholics', 'Jews', 'Knights']"
Service From the Heart,Oklahoma B'nai Noah Society,Paperback,USD 23.24,"This is the first book to combine prayers and customs for Biblical service to God for the descendants of Noah. Sections include Biblically based prayers, daily readings, wedding ceremony, funeral service, explanations of how to fulfill the commandments given to non-Jews, and more--with pages for notes and additions to make this book your own. Based on the covenant given to Noah and his descendants, this is not a new religion, but rather a return to the original faith of mankind as practiced by Noah, Melchizedek, and other non-Jewish Biblical figures.",2007,English,9780615164021,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Oklahoma B'nai Noah Society,356,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Noahide', ""B'nai Noah"", 'Prayers', 'Worship', 'Biblical', 'Judaism', 'Siddur', 'Seven Laws', 'Noah', 'Faith']"
"Jew & Gentile Serving The Same God, The Shocking Revelation of Truth","Arch Bishop D. A. Miller, DD",Paperback,USD 34.95,"Messianic Judaism is a movement of Jewish people who believe that Yeshua (Jesus' original name in Hebrew) is the Messiah of Israel and the Savior of the world. Yeshua is the most Jewish of Jews. Yeshua was a descendant of both Abraham and King David, was raised in a Jewish home and went to synagogue. He perfectly kept the entire Torah (see Galatians 4:4). He taught that He came to fulfill, not set aside, the Torah (see Matthew 5:17-19). He was a rabbi who performed unparalleled miracles, bringing great blessing to the nation of Israel. 
	All His early disciples also lived very Jewish lives. The Messianic movement was entirely Jewish at its inception, and continued to exist as an authentic Jewish movement for 700 years after Yeshua’s death and resurrection.
Messianic Jews have not stopped being Jewish. On the contrary, we remain strongly Jewish in our identity and lifestyle!",2012,English,9781105444692,Religion & Spirituality,All Rights Reserved - Standard Copyright License,"By (author): Arch Bishop D. A. Miller, DD",463,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Jew', 'Gentiles', 'Worship', 'God', 'Christ']"
HER SWASTIKA,ROGER LONDONIARY,Paperback,USD 32.99,"Ian Shag takes upon an usual mission with a Nazi agent whose parents were killed by the Nazis for transporting Jews out of Germany.  As a result, she joins the British Secret Service besides taking upon a mission in the United States in the MANHATTAN PROJECT where there are Nazi agents in the United States.  So Darla Harriet and Ian Shag joins forces against the Nazis.  So enjoy.",2011,English,9781257897810,Fiction,All Rights Reserved - Standard Copyright License,By (author): ROGER LONDONIARY,316,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['james bond', 'sherlock holmes']"
"יום העצמאות - ל""ג בעומר - שבועות",Smadar Ifrach,Paperback,USD 24.99,"Cookbook of the Jewish Independence Day holiday, Lag B'Omer holiday, Shavuot holiday, festive and special holiday dishes, and customs of the Jews, it is very easy to prepare, kosher recipes, recipes can be on the table in 30 minutes or less, kosher recipes, highly recommended!!!10%%%% of all proceeds go to cancer research donation !!! Help us to help cancer patients ... Thank you for your purchase...",2018,Hebrew,9780359042050,Cookbooks,All Rights Reserved - Standard Copyright License,By (author): Smadar Ifrach,34,Paperback,Color,US Trade (6 x 9 in / 152 x 229 mm),,"['kids', 'kosher', 'baking', 'holiday', 'jewish', 'independence day', ""lag b'omer"", 'shavuot', 'cooking', 'smadar', 'smadar ifrach', 'children']"
"יום העצמאות - ל""ג בעומר - שבועות",Smadar Ifrach,Ebook,USD 12.99,"Cookbook of the Jewish Independence Day holiday, Lag B'Omer holiday, Shavuot holiday, festive and special holiday dishes, and customs of the Jews, it is very easy to prepare, kosher recipes, recipes can be on the table in 30 minutes or less, kosher recipes, highly recommended!!!    10% of all proceeds go to cancer research donation !!! Help us to help cancer patients ... Thank you for your purchase...",2018,Hebrew,9780359021734,Children's,All Rights Reserved - Standard Copyright License,By (author): Smadar Ifrach,,,,,PDF,"['kids', 'kosher', 'baking', 'holiday', 'jewish', 'independence day', ""lag b'omer"", 'shavuot', 'cooking', 'smadar', 'smadar ifrach', 'children']"
Independence Day & Lag B'omer & Shavuot,Smadar Ifrach,Ebook,USD 9.99,"Cookbook of the Jewish Independence Day holiday, Lag B'Omer holiday, Shavuot holiday, festive and special holiday dishes, and customs of the Jews, it is very easy to prepare, kosher recipes, recipes can be on the table in 30 minutes or less, kosher recipes, highly recommended!!!    10% of all proceeds go to cancer research donation !!! Help us to help cancer patients ... Thank you for your purchase...",2018,English,9780359022007,Children's,All Rights Reserved - Standard Copyright License,By (author): Smadar Ifrach,,,,,PDF,"['kids', 'kosher', 'baking', 'holiday', 'jewish', 'independence day', ""lag b'omer"", 'shavuot', 'cooking', 'smadar', 'smadar ifrach', 'children']"
THE DORE LECTURES ON MENTAL SCIENCE,THOMAS TROWARD,Paperback,USD 9.96,"1918. Sunday addresses at the Dore Gallery, London, given in connection with The Higher Thought Center in Kensington. Contents: entering into the spirit of it; individuality; new thought and the new order; life of the spirit; alpha and omega; creative power of thought; great affirmation; Christ the fulfilling of the law; story of Eden; worship of Ishi; shepherd and the stone; and salvation is of the Jews.",2006,English,N/A,Personal Growth,All Rights Reserved - Standard Copyright License,By (author): THOMAS TROWARD,120,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['DORE LECTURES', 'THOMAS TROWARD']"
Herr Wenzel auf Rehberg und sein Knecht Kaspar Dinckel [German],Mayne Reid,Paperback,USD 9.38,"Hint: You can preview this book by clicking on ""Preview"" which is located under the cover of this book.

About the author:

Felix Salten (6 September 1869 – 8 October 1945) was an Austrian author and critic in Vienna. His most famous work is Bambi, a Life in the Woods (1923).Salten was born Siegmund Salzmann in Budapest, Hungary. When he was four weeks old, his family relocated to Vienna, Austria. Many Jews were immigrating into the city during the late 19th century because Vienna had granted full citizenship to Jews in 1867.When his father became bankrupt, the sixteen-year-old Salten quit school and began working for an insurance agency. He also began submitting poems and book reviews to journals. He became part of the ""Young Vienna"" movement (Jung Wien) and soon received work as a full-time art and theater critic for Vienna's press (Wiener Allgemeine Zeitung, Zeit). In 1900 he published his first collection of short stories.
Excerpt from: https://en.wikipedia.org/wiki/Felix_Salten",2016,German,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Mayne Reid,238,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['dinckel', 'felix', 'herr', 'kaspar', 'knecht', 'rehberg', 'salten', 'wenzel']"
Pieces of Me,Kathy Otis,Paperback,USD 17.52,"Hannah Howoritz lives a perfect life in Krakow, Poland with her parents and two older sisters. At seventeen, she knows exactly the path to choose as she enters a private music school.

Hannah's love for music started when she received her first violin and blossomed through the years. But when Hannah meets Jakob Nowak, she discovers a different kind of love, and Jakob becomes another piece that seems to fit perfectly into place.

Things change drastically, however, when Poland declares war against Germany and surrenders shortly thereafter. Hannah, her family, and the rest of the Jews fall under the Nazi regime. The Jews are stripped of their belongings and relocated to the ghettos and later on to prison camps where families are separated. Hannah and one of her sisters end up in the same camp, and together they try to be strong, holding onto a hope that freedom cannot be far away. Hannah's love for her family and for Jakob keeps her alive.",2011,English,9781257100811,Fiction,All Rights Reserved - Standard Copyright License,By (author): Kathy Otis,213,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['historical romance', 'contemporary fiction', 'jewish fiction', 'holocaust', 'spiritual']"
